Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.55    4.31  869860/869998      try_place [3]
[4]     79.6    0.55    4.31  869998         try_swap [4]
                1.13    0.81  848146/848146      comp_delta_td_cost [5]
                0.93    0.00 12628718/12629702     get_non_updateable_bb [11]
                0.61    0.00  848146/848146      find_affected_nets [16]
                0.33    0.00 15636765/15637785     get_net_cost [21]
                0.26    0.00  386965/386965      update_td_cost [22]
                0.11    0.04 3008047/3008047     update_bb [24]
                0.03    0.01  848146/848146      assess_swap [31]
                0.02    0.02  869998/869998      find_to [34]
                0.01    0.00 1267391/3022684     my_irand [35]
                0.00    0.00       4/383841      my_malloc [80]
-----------------------------------------------
                1.13    0.81  848146/848146      try_swap [4]
[5]     31.8    1.13    0.81  848146         comp_delta_td_cost [5]
                0.81    0.00 25424969/25584958     comp_td_point_to_point_delay [15]
-----------------------------------------------
                0.00    1.13       1/1           try_place [3]
[6]     18.5    0.00    1.13       1         alloc_lookups_and_criticalities [6]
                0.00    1.13       1/1           compute_delay_lookup_tables [7]
                0.00    0.00       1/1           alloc_and_load_timing_graph [258]
                0.00    0.00       1/1           alloc_net_delay [267]
                0.00    0.00       1/1           alloc_crit [264]
-----------------------------------------------
                0.00    1.13       1/1           alloc_lookups_and_criticalities [6]
[7]     18.5    0.00    1.13       1         compute_delay_lookup_tables [7]
                0.00    1.06       1/1           alloc_routing_structs [8]
                0.00    0.07       1/1           compute_delta_arrays [25]
                0.00    0.00       1/1           load_simplified_device [314]
                0.00    0.00       1/1           alloc_and_assign_internal_structures [249]
                0.00    0.00       1/1           setup_chan_width [322]
                0.00    0.00       1/1           get_longest_segment_length [308]
                0.00    0.00       1/1           alloc_delta_arrays [265]
                0.00    0.00       1/1           free_routing_structs [297]
                0.00    0.00       1/1           restore_original_device [320]
                0.00    0.00       1/1           free_and_reset_internal_structures [286]
-----------------------------------------------
                0.00    1.06       1/1           compute_delay_lookup_tables [7]
[8]     17.3    0.00    1.06       1         alloc_routing_structs [8]
                0.00    1.06       1/1           build_rr_graph [9]
                0.00    0.00       1/478         assign_locations [119]
                0.00    0.00       1/1           alloc_route_structs [270]
                0.00    0.00       1/2           free_rr_graph [214]
                0.00    0.00       1/1           alloc_and_load_rr_node_route_structs [256]
                0.00    0.00       1/1           alloc_timing_driven_route_structs [272]
                0.00    0.00       1/1           init_route_structs [312]
-----------------------------------------------
                0.00    1.06       1/1           alloc_routing_structs [8]
[9]     17.3    0.00    1.06       1         build_rr_graph [9]
                0.00    1.02       1/1           alloc_and_load_rr_graph [10]
                0.00    0.02       1/1           rr_graph_externals [39]
                0.01    0.00       1/1           alloc_sblock_pattern_lookup [60]
                0.00    0.01     121/121         load_sblock_pattern_lookup [62]
                0.00    0.00       1/1           alloc_and_load_rr_node_indices [69]
                0.00    0.00       4/383841      my_malloc [80]
                0.00    0.00       3/3           alloc_and_load_pin_to_track_map [194]
                0.00    0.00       3/3           alloc_and_load_track_to_pin_lookup [195]
                0.00    0.00       2/2           alloc_and_load_actual_fc [209]
                0.00    0.00       2/437         alloc_matrix [135]
                0.00    0.00       2/430         free_matrix [137]
                0.00    0.00       1/1           alloc_and_load_seg_details [257]
