Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       4/377666      my_malloc [37]
                0.00    0.00       2/2           ProcessChanWidthDistrDir [103]
                0.00    0.00       2/3774        my_atoi [54]
                0.00    0.00       2/2           ProcessCB_SB [102]
                0.00    0.00       1/1           ezxml_parse_file [125]
                0.00    0.00       1/1359        my_strdup [58]
-----------------------------------------------
                0.00    0.00       1/1           XmlReadArch [27]
[28]     0.2    0.00    0.00       1         ProcessTypes [28]
                0.00    0.00     203/222         FreeNode [24]
                0.00    0.00     229/3774        my_atoi [54]
                0.00    0.00     203/222         ezxml_free [76]
                0.00    0.00     173/173         GetNodeTokens [81]
                0.00    0.00     173/3302        FreeTokens [55]
                0.00    0.00     161/3287        CountTokens [56]
                0.00    0.00     140/183         ezxml_attr [79]
                0.00    0.00      91/377666      my_malloc [37]
                0.00    0.00      90/125         ezxml_set_attr [84]
                0.00    0.00      25/43          ezxml_child [89]
                0.00    0.00       7/171         my_calloc [82]
                0.00    0.00       6/6           ParseFc [91]
                0.00    0.00       2/1359        my_strdup [58]
                0.00    0.00       2/437         alloc_matrix [72]
                0.00    0.00       1/5           alloc_matrix3 [93]
-----------------------------------------------
                0.00    0.00     139/139         try_place [1]
[29]     0.1    0.00    0.00     139         comp_td_costs [29]
                0.00    0.00  159989/25584958     comp_td_point_to_point_delay [4]
-----------------------------------------------
                0.00    0.00     121/121         build_rr_graph [7]
[30]     0.0    0.00    0.00     121         load_sblock_pattern_lookup [30]
                0.00    0.00     440/68548       label_wire_muxes [10]
                0.00    0.00   21912/21912       get_simple_switch_block_track [47]
                0.00    0.00     440/377666      my_malloc [37]
-----------------------------------------------
                0.00    0.00     477/477         timing_driven_route_net [16]
[31]     0.0    0.00    0.00     477         add_route_tree_to_heap [31]
                0.00    0.00     477/222559      get_timing_driven_expected_cost [18]
                0.00    0.00     477/222559      node_to_heap [38]
-----------------------------------------------
                0.00    0.00       1/478         build_rr_graph [7]
                0.00    0.00     119/478         compute_delay_lookup_tables [6]
                0.00    0.00     358/478         postscript [17]
[32]     0.0    0.00    0.00     478         load_net_rr_terminals [32]
                0.00    0.00     956/1342470     get_rr_node_index [15]
-----------------------------------------------
                0.00    0.00       1/1           build_rr_graph [7]
[33]     0.0    0.00    0.00       1         alloc_and_load_rr_indexed_data [33]
                0.00    0.00     264/1342470     get_rr_node_index [15]
                0.00    0.00       2/2           load_rr_indexed_data_T_values [35]
                0.00    0.00       1/377666      my_malloc [37]
-----------------------------------------------
                0.00    0.00       2/2           try_place [1]
[34]     0.0    0.00    0.00       2         comp_bb_cost [34]
                0.00    0.00      36/315200      get_bb_from_scratch [13]
-----------------------------------------------
                0.00    0.00       2/2           alloc_and_load_rr_indexed_data [33]
[35]     0.0    0.00    0.00       2         load_rr_indexed_data_T_values [35]
                0.00    0.00     264/1342470     get_rr_node_index [15]
                0.00    0.00       6/171         my_calloc [82]
-----------------------------------------------
                0.00    0.00  638248/638248      try_swap [3]
[36]     0.0    0.00    0.00  638248         my_frand [36]
-----------------------------------------------
                0.00    0.00       1/377666      check_netlist [121]
                0.00    0.00       1/377666      update_traceback [71]
                0.00    0.00       1/377666      alloc_and_load_rr_node_route_structs [112]
                0.00    0.00       1/377666      alloc_route_tree_timing_structs [118]
                0.00    0.00       1/377666      init_route_tree_to_source [65]
                0.00    0.00       1/377666      alloc_and_load_rr_indexed_data [33]
                0.00    0.00       1/377666      alloc_net_delay [116]
                0.00    0.00       1/377666      alloc_and_load_timing_graph_levels [115]
                0.00    0.00       1/377666      ReadOptions [155]
                0.00    0.00       1/377666      alloc_lookups_and_criticalities [5]
                0.00    0.00       3/377666      add_to_mod_list [49]
                0.00    0.00       3/377666      alloc_timing_driven_route_structs [120]
                0.00    0.00       4/377666      XmlReadArch [27]
                0.00    0.00       4/377666      try_swap [3]
                0.00    0.00       5/377666      alloc_sblock_pattern_lookup [119]
                0.00    0.00       6/377666      alloc_and_load_pin_to_track_map [99]
                0.00    0.00       8/377666      node_to_heap [38]
                0.00    0.00       8/377666      alloc_route_structs [117]
                0.00    0.00      28/377666      update_route_tree [70]
                0.00    0.00      91/377666      ProcessTypes [28]
                0.00    0.00     153/377666      compute_delay_lookup_tables [6]
                0.00    0.00     192/377666      SetupVPR [26]
                0.00    0.00     244/377666      load_chan_rr_indices [109]
                0.00    0.00     267/377666      alloc_and_load_seg_details [113]
                0.00    0.00     307/377666      alloc_and_load_rr_node_indices [111]
                0.00    0.00     346/377666      GetNodeTokens [81]
                0.00    0.00     440/377666      load_sblock_pattern_lookup [30]
                0.00    0.00     766/377666      alloc_and_load_grid [92]
                0.00    0.00    1022/377666      get_mst_of_net [20]
                0.00    0.00    1022/377666      sync_nets_to_blocks [148]
                0.00    0.00    1298/377666      insert_in_hash_table [60]
                0.00    0.00    2001/377666      read_netlist [146]
                0.00    0.00    2086/377666      try_place [1]
                0.00    0.00    2720/377666      alloc_and_load_timing_graph [114]
                0.00    0.00    5880/377666      ReadLineTokens [57]
                0.00    0.00    6464/377666      build_rr_graph [7]
                0.00    0.00   30888/377666      get_unidir_track_to_chan_seg [8]
                0.00    0.00   34184/377666      alloc_and_load_edges_and_switches [50]
                0.00    0.00   68548/377666      label_wire_muxes [10]
                0.00    0.00  218668/377666      insert_in_edge_list [40]
[37]     0.0    0.00    0.00  377666         my_malloc [37]
-----------------------------------------------
                0.00    0.00     477/222559      add_route_tree_to_heap [31]
                0.00    0.00  222082/222559      timing_driven_route_net [16]
[38]     0.0    0.00    0.00  222559         node_to_heap [38]
                0.00    0.00       8/377666      my_malloc [37]
                0.00    0.00       4/5           my_realloc [94]
-----------------------------------------------
                0.00    0.00  222082/222082      timing_driven_route_net [16]
[39]     0.0    0.00    0.00  222082         get_rr_cong_cost [39]
-----------------------------------------------
                0.00    0.00   65868/218668      get_unidir_track_to_chan_seg [8]
                0.00    0.00   73920/218668      get_unidir_opin_connections [23]
                0.00    0.00   78880/218668      get_track_to_ipins [19]
[40]     0.0    0.00    0.00  218668         insert_in_edge_list [40]
                0.00    0.00  218668/377666      my_malloc [37]
-----------------------------------------------
                0.00    0.00   78880/78880       add_rr_graph_C_from_switches [22]
